,well number,species,collection date,file path,length lower,length upper,touching percent
19,5,P,191008,.\191008\191008_DCHC_transfer_experiment_P_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.3404064743209658
20,6,P,191008,.\191008\191008_DCHC_transfer_experiment_P_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.15649639824895606
21,7,P,191008,.\191008\191008_DCHC_transfer_experiment_P_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.23412012565127985
22,8,P,191008,.\191008\191008_DCHC_transfer_experiment_P_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.14221554997666117
23,1,S,191012,.\191012\191012_DCHC_transfer_experiment_SP_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.39751265275891867
24,2,S,191012,.\191012\191012_DCHC_transfer_experiment_SP_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.723357198699749
25,3,S,191012,.\191012\191012_DCHC_transfer_experiment_SP_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.3715693535777476
26,5,S,191012,.\191012\191012_DCHC_transfer_experiment_SP_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.5379068427766119
27,7,P,191012,.\191012\191012_DCHC_transfer_experiment_SP_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.08779780274040241
28,8,P,191012,.\191012\191012_DCHC_transfer_experiment_SP_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.2358247952927622
29,1,P,191016,.\191016\191016_DCHC_transfer_experiment_P_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.07450063402319711
30,2,P,191016,.\191016\191016_DCHC_transfer_experiment_P_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.08215544620109587
31,3,P,191016,.\191016\191016_DCHC_transfer_experiment_P_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.1312951523400691
32,4,P,191016,.\191016\191016_DCHC_transfer_experiment_P_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.04749938924370921
33,5,P,191016,.\191016\191016_DCHC_transfer_experiment_P_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.22565409090380298
34,6,P,191016,.\191016\191016_DCHC_transfer_experiment_P_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.023720610988959855
35,7,P,191016,.\191016\191016_DCHC_transfer_experiment_P_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.06193650461266418
36,8,P,191016,.\191016\191016_DCHC_transfer_experiment_P_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.19502320873905002
37,1,S,191019,.\191019\191019_DCHC_transfer_experiment_S_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.5673137059600195
38,2,S,191019,.\191019\191019_DCHC_transfer_experiment_S_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.47646568298163117
39,3,S,191019,.\191019\191019_DCHC_transfer_experiment_S_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.4780292325866901
40,4,S,191019,.\191019\191019_DCHC_transfer_experiment_S_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.6523939681730792
41,5,S,191019,.\191019\191019_DCHC_transfer_experiment_S_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.4302193602186653
42,6,S,191019,.\191019\191019_DCHC_transfer_experiment_S_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.5859373190336106
43,7,S,191019,.\191019\191019_DCHC_transfer_experiment_S_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.33497023464825926
44,8,S,191019,.\191019\191019_DCHC_transfer_experiment_S_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.6223738157559473
45,1,S,191020,.\191020\191020_DCHC_transfer_experiment_S_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.19127320315459587
46,2,S,191020,.\191020\191020_DCHC_transfer_experiment_S_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.6695824867123555
47,3,S,191020,.\191020\191020_DCHC_transfer_experiment_S_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.5262595998209182
48,4,S,191020,.\191020\191020_DCHC_transfer_experiment_S_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.3549264731205014
49,5,S,191020,.\191020\191020_DCHC_transfer_experiment_S_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.3638002089288379
50,6,S,191020,.\191020\191020_DCHC_transfer_experiment_S_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.1559963724443526
51,7,S,191020,.\191020\191020_DCHC_transfer_experiment_S_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.6719358060405689
52,8,S,191020,.\191020\191020_DCHC_transfer_experiment_S_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.3607695928183582
53,1,S,191021,.\191021\191021_DCHC_transfer_experiment_SP_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.4618142353701513
54,2,S,191021,.\191021\191021_DCHC_transfer_experiment_SP_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.1682661236235931
55,3,P,191021,.\191021\191021_DCHC_transfer_experiment_SP_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.4280610191812894
56,4,P,191021,.\191021\191021_DCHC_transfer_experiment_SP_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.17575328935334789
57,5,P,191021,.\191021\191021_DCHC_transfer_experiment_SP_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.08044435231138805
58,6,P,191021,.\191021\191021_DCHC_transfer_experiment_SP_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.18386235321375005
59,7,P,191021,.\191021\191021_DCHC_transfer_experiment_SP_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.19956832953284476
60,8,P,191021,.\191021\191021_DCHC_transfer_experiment_SP_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.09048008096869779
61,1,P,191022,.\191022\191022_DCHC_transfer_experiment_P_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.21779925738197678
62,2,P,191022,.\191022\191022_DCHC_transfer_experiment_P_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.30483880473861025
63,3,P,191022,.\191022\191022_DCHC_transfer_experiment_P_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.19648729887428537
64,4,P,191022,.\191022\191022_DCHC_transfer_experiment_P_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.16530912948665055
65,5,P,191022,.\191022\191022_DCHC_transfer_experiment_P_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.1048034419755997
66,6,P,191022,.\191022\191022_DCHC_transfer_experiment_P_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.18640891141627866
67,7,P,191022,.\191022\191022_DCHC_transfer_experiment_P_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.18500618848352685
68,8,P,191022,.\191022\191022_DCHC_transfer_experiment_P_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.2431072081098603
69,1,S,191025,.\191025\191025_DCHC_transfer_experiment_S_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.343676030547988
70,2,S,191025,.\191025\191025_DCHC_transfer_experiment_S_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.6037358760216158
71,3,S,191025,.\191025\191025_DCHC_transfer_experiment_S_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.777064445536153
72,4,S,191025,.\191025\191025_DCHC_transfer_experiment_S_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.490420258139431
73,5,S,191025,.\191025\191025_DCHC_transfer_experiment_S_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.6797485596891608
74,6,S,191025,.\191025\191025_DCHC_transfer_experiment_S_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.4275825108302443
75,7,S,191025,.\191025\191025_DCHC_transfer_experiment_S_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.8097449868250637
76,8,S,191025,.\191025\191025_DCHC_transfer_experiment_S_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191012_SOct21shuffle1_80000.csv,,110,0.8183533562592112
77,1,D,191029,.\191029\191029_DCHC_transfer_experiment_D_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,125,0.054708384667240054
78,2,D,191029,.\191029\191029_DCHC_transfer_experiment_D_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,125,0.07510634835770241
79,3,D,191029,.\191029\191029_DCHC_transfer_experiment_D_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,125,0.026790487923940585
80,4,D,191029,.\191029\191029_DCHC_transfer_experiment_D_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,125,0.09796833957088728
81,5,D,191029,.\191029\191029_DCHC_transfer_experiment_D_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,125,0.031218763802040958
82,6,D,191029,.\191029\191029_DCHC_transfer_experiment_D_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,125,0.10397731235035682
83,7,D,191029,.\191029\191029_DCHC_transfer_experiment_D_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,125,0.021048838885143775
84,8,D,191029,.\191029\191029_DCHC_transfer_experiment_D_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,125,0.07988330737581069
85,1,D,191105,.\191105\191105_DCHC_transfer_experiment_D_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.03058059459156822
86,2,D,191105,.\191105\191105_DCHC_transfer_experiment_D_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.003101730026314316
87,3,D,191105,.\191105\191105_DCHC_transfer_experiment_D_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.004322266390459661
88,4,D,191105,.\191105\191105_DCHC_transfer_experiment_D_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.14336263367112703
89,5,D,191105,.\191105\191105_DCHC_transfer_experiment_D_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.5336655282458989
90,6,D,191105,.\191105\191105_DCHC_transfer_experiment_D_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.023962824030009516
91,7,D,191105,.\191105\191105_DCHC_transfer_experiment_D_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.1393986898829853
92,8,D,191105,.\191105\191105_DCHC_transfer_experiment_D_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.004758972062034601
93,1,P,191113,.\191113\191113_DCHC_transfer_experiment_P_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.1688744110010578
94,2,P,191113,.\191113\191113_DCHC_transfer_experiment_P_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.02544715838061352
95,3,P,191113,.\191113\191113_DCHC_transfer_experiment_P_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.291939128762381
96,4,P,191113,.\191113\191113_DCHC_transfer_experiment_P_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.07409366285219733
97,5,P,191113,.\191113\191113_DCHC_transfer_experiment_P_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.22295413020482738
98,6,P,191113,.\191113\191113_DCHC_transfer_experiment_P_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.22875997692085778
99,7,P,191113,.\191113\191113_DCHC_transfer_experiment_P_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.16241946340994326
100,8,P,191113,.\191113\191113_DCHC_transfer_experiment_P_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.03701077026637176
101,1,D,191115,.\191115\191115_DCHC_transfer_experiment_D_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.02869820636210237
102,2,D,191115,.\191115\191115_DCHC_transfer_experiment_D_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.03244797200174989
103,3,D,191115,.\191115\191115_DCHC_transfer_experiment_D_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.022998562589838137
104,4,D,191115,.\191115\191115_DCHC_transfer_experiment_D_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.09789388163239797
105,5,D,191115,.\191115\191115_DCHC_transfer_experiment_D_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.07399537528904443
106,6,D,191115,.\191115\191115_DCHC_transfer_experiment_D_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.01034935316542716
107,7,D,191115,.\191115\191115_DCHC_transfer_experiment_D_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.08120742453596651
108,8,D,191115,.\191115\191115_DCHC_transfer_experiment_D_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191029_DNov5shuffle1_40000.csv,,120,0.02661083682269858
